,precision,recall,f1-score,support
0,0.9407834998054222,0.9051482059282371,0.9226218872245014,16025.0
1,0.9261167549701065,0.9542722628468396,0.9399837193813365,19966.0
accuracy,0.9323997666083187,0.9323997666083187,0.9323997666083187,0.9323997666083187
macro avg,0.9334501273877643,0.9297102343875383,0.9313028033029189,35991.0
weighted avg,0.9326471260624889,0.9323997666083187,0.9322533601161512,35991.0
